Date/Time,Step Count (count),Source
2022-08-13 00:00:00,1594,Zebra|iPhone
2022-08-14 00:00:00,840.41,Zebra|iPhone
2022-08-15 00:00:00,594.59,Zebra|iPhone
2022-08-16 00:00:00,1952,Zebra|iPhone
2022-08-17 00:00:00,1611,Zebra|iPhone
2022-08-18 00:00:00,2463,Zebra|iPhone
2022-08-19 00:00:00,339.89,Zebra|iPhone
2022-08-20 00:00:00,2371,Zebra|iPhone
2022-08-21 00:00:00,1616,Zebra|iPhone
2022-08-22 00:00:00,3116,Zebra|iPhone
2022-08-23 00:00:00,1905,Zebra|iPhone
2022-08-24 00:00:00,1851,Zebra|iPhone
2022-08-25 00:00:00,4200,Zebra|iPhone
2022-08-26 00:00:00,6190,Zebra|iPhone
2022-08-27 00:00:00,2225,Zebra|iPhone
2022-08-28 00:00:00,4539,Zebra|iPhone
2022-08-29 00:00:00,2405,Zebra|iPhone
2022-08-30 00:00:00,2432,Zebra|iPhone
2022-08-31 00:00:00,1836,Zebra|iPhone
2022-09-01 00:00:00,2830,Zebra|iPhone
2022-09-02 00:00:00,3606,Zebra|iPhone
2022-09-03 00:00:00,16502,Zebra|iPhone
2022-09-04 00:00:00,929.58,Zebra|iPhone
2022-09-05 00:00:00,461,Zebra|iPhone
2022-09-06 00:00:00,2055,Zebra|iPhone
2022-09-07 00:00:00,1192,Zebra|iPhone
2022-09-08 00:00:00,3080,Zebra|iPhone
2022-09-09 00:00:00,1980,Zebra|iPhone
2022-09-10 00:00:00,6245,Zebra|iPhone
2022-09-11 00:00:00,857,Zebra|iPhone
2022-09-12 00:00:00,1881,Zebra|iPhone
2022-09-13 00:00:00,2343,Zebra|iPhone
2022-09-14 00:00:00,3051,Zebra|iPhone
2022-09-15 00:00:00,1592,Zebra|iPhone
2022-09-16 00:00:00,5017,Zebra|iPhone
2022-09-17 00:00:00,1324,Zebra|iPhone
2022-09-18 00:00:00,1493,Zebra|iPhone
2022-09-19 00:00:00,1257,Zebra|iPhone
2022-09-20 00:00:00,1972,Zebra|iPhone
2022-09-21 00:00:00,1386,Zebra|iPhone
2022-09-22 00:00:00,1741,Zebra|iPhone
2022-09-23 00:00:00,1841,Zebra|iPhone
2022-09-24 00:00:00,1378,Zebra|iPhone
2022-09-25 00:00:00,2944,Zebra|iPhone
2022-09-26 00:00:00,1880,Zebra|iPhone
2022-09-27 00:00:00,2454,Zebra|iPhone
2022-09-28 00:00:00,2186,Zebra|iPhone
2022-09-29 00:00:00,1527,Zebra|iPhone
2022-09-30 00:00:00,2086,Zebra|iPhone
2022-10-01 00:00:00,2669,Zebra|iPhone
2022-10-02 00:00:00,1831,Zebra|iPhone
2022-10-03 00:00:00,1809,Zebra|iPhone
2022-10-04 00:00:00,3471,Zebra|iPhone
2022-10-05 00:00:00,1802,Zebra|iPhone
2022-10-06 00:00:00,1727,Zebra|iPhone
2022-10-07 00:00:00,4325,Zebra|iPhone
2022-10-08 00:00:00,909,Zebra|iPhone
2022-10-09 00:00:00,1475,Zebra|iPhone
2022-10-10 00:00:00,7391,Zebra|iPhone
2022-10-11 00:00:00,2392,Zebra|iPhone
2022-10-12 00:00:00,1838,Zebra|iPhone
2022-10-13 00:00:00,1567,Zebra|iPhone
2022-10-14 00:00:00,2252,Zebra|iPhone
2022-10-15 00:00:00,495,Zebra|iPhone
2022-10-16 00:00:00,743,Zebra|iPhone
2022-10-17 00:00:00,2727,Zebra|iPhone
2022-10-18 00:00:00,3165,Zebra|iPhone
2022-10-19 00:00:00,2526,Zebra|iPhone
2022-10-20 00:00:00,4827,Zebra|iPhone
2022-10-21 00:00:00,1717,Zebra|iPhone
2022-10-22 00:00:00,4187,Zebra|iPhone
2022-10-23 00:00:00,3672,Zebra|iPhone
2022-10-24 00:00:00,760,Zebra|iPhone
2022-10-25 00:00:00,3021,Zebra|iPhone
2022-10-26 00:00:00,1788,Zebra|iPhone
2022-10-27 00:00:00,3078,Zebra|iPhone
2022-10-28 00:00:00,1702,Zebra|iPhone
2022-10-29 00:00:00,864,Zebra|iPhone
2022-10-30 00:00:00,236,Zebra|iPhone
2022-10-31 00:00:00,6138,Zebra|iPhone
2022-11-01 00:00:00,1595,Zebra|iPhone
2022-11-02 00:00:00,2258,Zebra|iPhone
2022-11-03 00:00:00,2274,Zebra|iPhone
2022-11-04 00:00:00,3394,Zebra|iPhone
2022-11-05 00:00:00,1093,Zebra|iPhone
2022-11-06 00:00:00,776,Zebra|iPhone
2022-11-07 00:00:00,2691,Zebra|iPhone
2022-11-08 00:00:00,2447,Zebra|iPhone
2022-11-09 00:00:00,1872,Zebra|iPhone
2022-11-10 00:00:00,2354,Zebra|iPhone
2022-11-11 00:00:00,1533,Zebra|iPhone
2022-11-12 00:00:00,3489,Zebra|iPhone
